,station_id,station_name,region_name,latitude,longitude,region_id,province_id,date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,province_name
47,96001,Stasiun Meteorologi Maimun Saleh,Kota Sabang,5.87655,95.33785,20,1,17-02-2010,22.2,31.6,27.3,86.0,0.0,0.4,7.0,90.0,4.0,E ,Nanggroe Aceh Darussalam
48,96001,Stasiun Meteorologi Maimun Saleh,Kota Sabang,5.87655,95.33785,20,1,18-02-2010,22.4,32.4,28.3,87.0,0.0,0.4,10.0,90.0,6.0,E ,Nanggroe Aceh Darussalam
49,96001,Stasiun Meteorologi Maimun Saleh,Kota Sabang,5.87655,95.33785,20,1,19-02-2010,21.0,32.4,28.3,81.0,0.0,0.4,10.0,90.0,6.0,E ,Nanggroe Aceh Darussalam
50,96001,Stasiun Meteorologi Maimun Saleh,Kota Sabang,5.87655,95.33785,20,1,20-02-2010,20.2,31.8,26.4,87.0,0.0,0.3,5.0,90.0,4.0,E ,Nanggroe Aceh Darussalam
51,96001,Stasiun Meteorologi Maimun Saleh,Kota Sabang,5.87655,95.33785,20,1,21-02-2010,21.2,31.2,26.5,86.0,0.0,0.0,,,,,Nanggroe Aceh Darussalam
52,96001,Stasiun Meteorologi Maimun Saleh,Kota Sabang,5.87655,95.33785,20,1,22-02-2010,21.2,31.8,27.6,86.0,0.0,0.5,8.0,90.0,5.0,E ,Nanggroe Aceh Darussalam
53,96001,Stasiun Meteorologi Maimun Saleh,Kota Sabang,5.87655,95.33785,20,1,23-02-2010,19.6,30.8,27.0,90.0,29.0,0.2,,,,,Nanggroe Aceh Darussalam
54,96001,Stasiun Meteorologi Maimun Saleh,Kota Sabang,5.87655,95.33785,20,1,24-02-2010,22.8,30.8,26.9,87.0,0.0,0.2,10.0,225.0,6.0,SW,Nanggroe Aceh Darussalam
55,96001,Stasiun Meteorologi Maimun Saleh,Kota Sabang,5.87655,95.33785,20,1,25-02-2010,22.2,32.0,27.3,86.0,0.0,0.6,6.0,270.0,4.0,W ,Nanggroe Aceh Darussalam
56,96001,Stasiun Meteorologi Maimun Saleh,Kota Sabang,5.87655,95.33785,20,1,26-02-2010,22.4,31.2,27.6,86.0,0.0,0.6,4.0,45.0,3.0,N ,Nanggroe Aceh Darussalam
57,96001,Stasiun Meteorologi Maimun Saleh,Kota Sabang,5.87655,95.33785,20,1,27-02-2010,22.4,30.8,27.7,89.0,10.0,0.5,4.0,90.0,4.0,E ,Nanggroe Aceh Darussalam
58,96001,Stasiun Meteorologi Maimun Saleh,Kota Sabang,5.87655,95.33785,20,1,28-02-2010,21.2,29.2,26.6,94.0,14.0,0.1,,,,,Nanggroe Aceh Darussalam
